time(s),x(m),y(m),theta(rad),theta(deg),v(m/s),w(rad/s),u0x,u0y
0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,0.000000,0.000000
0.099996,0.000000,0.015000,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
0.199996,0.000000,0.029999,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
0.300096,0.000000,0.044999,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
0.400077,0.000000,0.060014,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
0.500103,0.000000,0.075012,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
0.600025,0.000000,0.090015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
0.700122,0.000000,0.105004,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
0.800122,0.000000,0.120018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
0.900100,0.000000,0.135018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.000109,0.000000,0.150015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.100148,0.000000,0.165016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.200044,0.000000,0.180022,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.300080,0.000000,0.195007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.400040,0.000000,0.210012,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.500021,0.000000,0.225006,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.600033,0.000000,0.240003,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.700103,0.000000,0.255005,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.800046,0.000000,0.270015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
1.900120,0.000000,0.285007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.000083,0.000000,0.300018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.100067,0.000000,0.315012,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.200106,0.000000,0.330010,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.300113,0.000000,0.345016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.400038,0.000000,0.360017,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.500094,0.000000,0.375006,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.600135,0.000000,0.390014,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.700065,0.000000,0.405020,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.800098,0.000000,0.420010,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
2.900095,0.000000,0.435015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.000229,0.000000,0.450014,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.100128,0.000000,0.465034,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.200149,0.000000,0.480019,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.300048,0.000000,0.495022,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.400061,0.000000,0.510007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.500108,0.000000,0.525009,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.600028,0.000000,0.540016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.700084,0.000000,0.555004,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.800150,0.000000,0.570013,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
3.900056,0.000000,0.585022,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.000101,0.000000,0.600008,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.100201,0.000000,0.615015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.200075,0.000000,0.630030,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.300098,0.000000,0.645011,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.400126,0.000000,0.660015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.500041,0.000000,0.675019,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.600101,0.000000,0.690006,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.700139,0.000000,0.705015,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.800046,0.000000,0.720021,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
4.900090,0.000000,0.735007,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
5.000122,0.000000,0.750013,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
5.100026,0.000000,0.765018,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
5.200107,0.000000,0.780004,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
5.300115,0.000000,0.795016,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
5.400039,0.000000,0.810017,1.570796,90.00,0.150000,0.000000,0.000000,0.150000
