time(s),x(m),y(m),theta(rad),theta(deg),vc(m/s),wc(rad/s),xr(m),yr(m),thetar(rad),xe(m),ye(m),thetae(rad)
0.000000,0.150000,0.400000,0.060970,3.49,-0.054001,-2.840000,0.141891,0.399341,0.000000,0.026393,0.004577,1.509826
0.099996,0.150000,0.400000,0.061059,3.50,-0.099442,-1.099994,0.133113,0.403139,0.000000,0.026393,-0.010422,1.509738
0.199996,0.149621,0.399979,0.043241,2.48,-0.118370,0.501760,0.126484,0.412512,0.000000,0.026014,-0.025443,1.527555
0.300096,0.146865,0.400060,-0.079667,-4.56,-0.113390,1.374241,0.122631,0.426460,0.000000,0.023258,-0.040377,1.650463
0.400077,0.138594,0.401208,-0.169102,-9.69,-0.073155,1.926983,0.121124,0.443233,0.000000,0.014987,-0.054226,1.739898
0.500103,0.128037,0.402990,-0.148218,-8.49,0.014233,2.285914,0.121138,0.461186,0.000000,0.004430,-0.067448,1.719014
0.600025,0.118800,0.403929,-0.038273,-2.19,0.147041,2.543022,0.121873,0.479165,0.000000,-0.004807,-0.081497,1.609069
0.700122,0.115461,0.403876,0.117093,6.71,0.220000,2.728182,0.122752,0.496268,0.000000,-0.008146,-0.096565,1.453703
0.800122,0.117125,0.404201,0.242806,13.91,0.220000,2.840000,0.123319,0.512618,0.000000,-0.006482,-0.111240,1.327991
0.900100,0.123580,0.406425,0.401701,23.02,0.220000,2.840000,0.123592,0.528444,0.000000,-0.000026,-0.124013,1.169095
1.000109,0.132181,0.410828,0.539404,30.91,0.220000,2.840000,0.123681,0.543957,0.000000,0.008574,-0.134611,1.031393
1.100148,0.140809,0.416807,0.671287,38.46,0.220000,2.840000,0.123679,0.559304,0.000000,0.017202,-0.143638,0.899509
1.200044,0.148493,0.423771,0.802388,45.97,0.220000,2.782168,0.123662,0.574566,0.000000,0.024886,-0.151658,0.768408
1.300080,0.155232,0.431720,0.932715,53.44,0.220000,2.599497,0.123647,0.589780,0.000000,0.031626,-0.158714,0.638081
1.400040,0.160989,0.440649,1.062776,60.89,0.220000,2.358283,0.123636,0.604958,0.000000,0.037382,-0.164779,0.508020
1.500021,0.164169,0.446981,1.148696,65.82,0.220000,2.131270,0.123629,0.620102,0.000000,0.040563,-0.173445,0.422101
1.600033,0.167892,0.456958,1.277827,73.21,0.220000,1.821519,0.123625,0.635214,0.000000,0.044285,-0.178469,0.292969
1.700103,0.170493,0.467704,1.386197,79.42,0.220000,1.493693,0.123623,0.650296,0.000000,0.046886,-0.182734,0.184600
1.800046,0.172133,0.480629,1.496079,85.72,0.220000,1.145271,0.123622,0.665352,0.000000,0.048526,-0.184800,0.074717
1.900120,0.172531,0.494084,1.585385,90.84,0.220000,0.817787,0.123621,0.680388,0.000000,0.048924,-0.186356,-0.014589
2.000083,0.171752,0.509146,1.657991,95.00,0.220000,0.525658,0.123620,0.695410,0.000000,0.048145,-0.186289,-0.087195
2.100067,0.169764,0.526062,1.713857,98.20,0.220000,0.275993,0.123618,0.710420,0.000000,0.046157,-0.184371,-0.143061
2.200106,0.166868,0.543720,1.751233,100.34,0.220000,0.075915,0.123617,0.725424,0.000000,0.043261,-0.181719,-0.180436
2.300113,0.163193,0.562317,1.778673,101.91,0.220000,-0.086703,0.123616,0.740426,0.000000,0.039586,-0.178122,-0.207877
2.400038,0.158833,0.582091,1.794659,102.83,0.220000,-0.214343,0.123614,0.755423,0.000000,0.035226,-0.173337,-0.223862
2.500094,0.154245,0.601969,1.800085,103.14,0.220000,-0.308411,0.123613,0.770422,0.000000,0.030638,-0.168468,-0.229289
2.600135,0.149431,0.622391,1.803146,103.31,0.220000,-0.384103,0.123613,0.785422,0.000000,0.025824,-0.163052,-0.232350
2.700065,0.144892,0.641709,1.799640,103.11,0.220000,-0.439264,0.123612,0.800422,0.000000,0.021286,-0.158723,-0.228844
